Complaint,Category,,,,,
"Excuse me, the membership cost increased without my permission!",Subscriptions,,,,,
Why is the voucher code old when it should be valid?,Promotions,,,,,
"I'm sorry, but part of the bundle is gone from the parcel!",Product Integrity & Accuracy,,,,,
i haven't received my refund yet for the sent back item.,Refund & Returns,,,,,
Can I get a demo for your service?,Subscriptions,,,,,
can I get a free test for your app?,Subscriptions,,,,,
"Excuse me, My notifs are not saving after I update them.",Account & Profile Management,,,,,
Can you check quantity in the other transit?,Inventory,,,,,
My promo code is not applying to my purchase!,Promotions,,,,,
my discount code is not applying to my order!,Promotions,,,,,
Can you explain this billing error on my account?,Billing & Transaction Problems,,,,,
where is my package? The tracking link says it is warehouse.,Delivery,,,,,
The currency conversion for my checkout seems incorrect.,Billing & Transaction Problems,,,,,
I want to scale up my plan to the VIP level.,Subscriptions,,,,,
The subscription total amount increased without my permission!,Subscriptions,,,,,
"Hi, i noticed a sign-in from a sorting center I don't recognize.",Security and Privacy,,,,,
"I'm sorry, but How do I link my Facebook to my membership?",Account & Profile Management,,,,,
"Hello, I need to reset my password immediately!",Security and Privacy,,,,,
i keep getting weird emails claiming to be from you.,Security and Privacy,,,,,
The site is not displaying images properly!,Technical Issues,,,,,
i want to use my store credit for this acquisition!,Promotions,,,,,
"Excuse me, I can't change my phone number on the account settings.",Account & Profile Management,,,,,
"I'm sorry, but i need to update my home address for all future orders!",Account & Profile Management,,,,,
I can't modify my mobile on the profile settings!,Account & Profile Management,,,,,
the item I got is out of date and cannot be used.,Product Integrity & Accuracy,,,,,
"I'm sorry, but I want to send back my request for a full money back!",Refund & Returns,,,,,
I want to be alerted when this merchandise is in inventory again.,Inventory,,,,,
"I haven't received my package yet, although the tracking status says delivered.",Delivery,,,,,
I want to scale up my plan to the pro level.,Subscriptions,,,,,
"I'm sorry, but I need an update on my box transit status.",Delivery,,,,,
Someone made an fraudulent purchase using my membership.,Security and Privacy,,,,,
"Hi, I need a breakdown of the fees on my latest billing history.",Billing & Transaction Problems,,,,,
i want to use my reward credits for this purchase.,Promotions,,,,,
the saving promised in the marketing mail is not working.,Promotions,,,,,
how do I link my Facebook to my account?,Account & Profile Management,,,,,
Why is the coupon code out of date when it should be valid?,Promotions,,,,,
"Excuse me, the submit button on the cart page is not working!",Technical Issues,,,,,
"Excuse me, i cannot find where to adjust my personal info!",Account & Profile Management,,,,,
my legal name is spelled incorrectly on my profile.,Account & Profile Management,,,,,
where is my shipment? The delivery tracking says it is transit.,Delivery,,,,,
my promo code is not applying to my request.,Promotions,,,,,
the order button on the payment page is not working!,Technical Issues,,,,,
Why is the code code old when it should be valid?,Promotions,,,,,
"Hello, i need a postage label for my box.",Refund & Returns,,,,,
the website keeps crashing whenever I try to view my cart.,Technical Issues,,,,,
"I'm sorry, but I think my account has been hacked or leaked.",Security and Privacy,,,,,
i need a return slip for my parcel.,Refund & Returns,,,,,
is there a delay with shipping to my area?,Delivery,,,,,
"Excuse me, The storefront keeps bugging out whenever I try to view my cart.",Technical Issues,,,,,
"I'm sorry, but The merchandise looks nothing like the advertised image on the site.",Product Integrity & Accuracy,,,,,
"Excuse me, tracking number ID #8822 is not updating for my order.",Delivery,,,,,
your refund policy says I have 30 days to exchange this!,Refund & Returns,,,,,
"I'm sorry, but i want to cancel my recurring membership!",Subscriptions,,,,,
Internal server failure is preventing me from finishing my place an order!,Technical Issues,,,,,
I want to change my frequency from annual to one-year.,Subscriptions,,,,,
the product I received is damaged and shattered.,Product Integrity & Accuracy,,,,,
Why is my mailing stuck in warehouse?,Delivery,,,,,
can you apply this discount manually to my transaction?,Promotions,,,,,
I want to change my frequency from annual to annual!,Subscriptions,,,,,
your refund policy says I have 30 days to exchange this.,Refund & Returns,,,,,
I didn't get the freebie with my purchase.,Promotions,,,,,
The merchandise is out of stock and I need to know when it will be back in stock!,Inventory,,,,,
"Hi, can I get a trial for your app?",Subscriptions,,,,,
"I'm sorry, but how do I pause my membership for a few months?",Subscriptions,,,,,
"I'm sorry, but The unit I got is old and cannot be used.",Product Integrity & Accuracy,,,,,
the item I received is damaged and non-functional!,Product Integrity & Accuracy,,,,,
this item seems to be a refurbished unit instead of new!,Product Integrity & Accuracy,,,,,
i want to scale up my tier to the pro level!,Subscriptions,,,,,
I want to cancel my recurring membership.,Subscriptions,,,,,
I can't change my contact number on the profile settings.,Account & Profile Management,,,,,
How do I start a exchange for a good I don't want?,Refund & Returns,,,,,
The website keeps crashing whenever I try to log in.,Technical Issues,,,,,
The delivery driver lost my box and I need help!,Delivery,,,,,
"Excuse me, I think my profile has been compromised or compromised.",Security and Privacy,,,,,
The gadget I bought won't turn on!,Product Integrity & Accuracy,,,,,
the screen times out every time I refresh it!,Technical Issues,,,,,
I want to be sent an email when this item is in quantity again.,Inventory,,,,,
My request has been out for delivery for three days now.,Delivery,,,,,
my auto-renew is turned off but I was still billed.,Subscriptions,,,,,
I need to recover my passcode immediately.,Security and Privacy,,,,,
I can't change my contact number on the membership settings!,Account & Profile Management,,,,,
I can't modify my contact number on the profile settings.,Account & Profile Management,,,,,
Where is my parcel? The tracking info says it is transit.,Delivery,,,,,
the device I bought won't turn on.,Product Integrity & Accuracy,,,,,
the good is out of stock and I need to know when it will be back in stock.,Inventory,,,,,
"Hello, I'm getting a connection error when I click the pay button!",Technical Issues,,,,,
the site keeps freezing whenever I try to log in.,Technical Issues,,,,,
the storefront says ready but it's actually on backorder.,Inventory,,,,,
the build of this merchandise is very poor compared to the description.,Product Integrity & Accuracy,,,,,
I didn't get the free gift with my purchase.,Promotions,,,,,
i need a postage label for my shipment.,Refund & Returns,,,,,
the currency conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
"Hi, The quality of this good is very poor compared to the description.",Product Integrity & Accuracy,,,,,
The online shop keeps freezing whenever I try to log in.,Technical Issues,,,,,
the merchandise looks nothing like the online photo on the online shop.,Product Integrity & Accuracy,,,,,
The subscription price increased without my permission.,Subscriptions,,,,,
"Hello, My coupon is not applying to my transaction!",Promotions,,,,,
i want to end my annual service plan.,Subscriptions,,,,,
"Excuse me, how do I link my social media to my account?",Account & Profile Management,,,,,
My name is spelled incorrectly on my account details.,Account & Profile Management,,,,,
how do I link my Google to my membership?,Account & Profile Management,,,,,
how do I start a send back for a product I don't want?,Refund & Returns,,,,,
I want to send back my transaction for a full reimbursement.,Refund & Returns,,,,,
The price at checkout didn't match the price on the product page!,Billing & Transaction Problems,,,,,
I want to cancel my annual subscription.,Subscriptions,,,,,
